,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
36,2004,72.594,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
37,2005,73.072,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
38,2006,73.521,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
39,2007,73.936,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
40,2008,74.311,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
41,2009,74.644,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
42,2010,74.938,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
43,2011,75.199,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
44,2012,75.436,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
45,2013,75.661,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
46,2014,75.878,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
47,2015,76.09,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
48,2000,46.522,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
49,2001,47.059,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
50,2002,47.702,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
51,2003,48.44,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
52,2004,49.263,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
53,2005,50.165,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
54,2006,51.143,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
55,2007,52.177,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
56,2008,53.243,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
57,2009,54.311,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
58,2010,55.35,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
59,2011,56.33,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
60,2012,57.236,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
61,2013,58.054,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
62,2014,58.776,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
63,2015,59.398,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
64,2000,73.94,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
65,2001,74.171,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
66,2002,74.395,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
67,2003,74.613,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
68,2004,74.821,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
69,2005,75.019,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
70,2006,75.204,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
71,2007,75.376,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
72,2008,75.535,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
73,2009,75.683,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
74,2010,75.823,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
75,2011,75.956,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
76,2012,76.087,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
77,2013,76.218,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
78,2014,76.349,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
79,2015,76.483,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
80,2000,73.576,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
81,2001,73.755,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
82,2002,73.932,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
83,2003,74.107,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
84,2004,74.28,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
85,2005,74.451,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
86,2006,74.62,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
87,2007,74.787,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
88,2008,74.952,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
89,2009,75.116,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
90,2010,75.278,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
91,2011,75.439,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
92,2012,75.598,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
93,2013,75.756,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
94,2014,75.913,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
95,2015,76.068,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
96,2000,71.409,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
97,2001,71.8,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
98,2002,72.112,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
99,2003,72.348,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
100,2004,72.513,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
101,2005,72.626,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
102,2006,72.716,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
103,2007,72.815,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
104,2008,72.946,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
105,2009,73.118,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
106,2010,73.331,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
107,2011,73.572,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
108,2012,73.82,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
109,2013,74.056,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
110,2014,74.273,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
111,2015,74.467,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
112,2000,73.787,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
113,2001,73.853,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
114,2002,73.937,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
115,2003,74.038,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
116,2004,74.156,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
117,2005,74.287,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
118,2006,74.429,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
119,2007,74.576,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
120,2008,74.725,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
121,2009,74.872,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
122,2010,75.017,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
123,2011,75.158,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
124,2012,75.299,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
125,2013,75.441,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
126,2014,75.583,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
127,2015,75.725,SP.DYN.LE00.IN,ABW,Aruba,Latin America & Caribbean ,High income,Not classified
128,2000,79.2341463415,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
129,2001,79.6341463415,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
130,2002,79.9365853659,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
131,2003,80.2390243902,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
132,2004,80.4902439024,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
133,2005,80.8414634146,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
134,2006,81.0414634146,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
135,2007,81.2926829268,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
136,2008,81.3951219512,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
137,2009,81.543902439,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
138,2010,81.6951219512,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
139,2011,81.8951219512,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
140,2012,82.0463414634,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
141,2013,82.1487804878,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
142,2014,82.3,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
143,2015,82.4,SP.DYN.LE00.IN,AUS,Australia,East Asia & Pacific,High income,Not classified
144,2000,78.1268292683,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
145,2001,78.5756097561,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
146,2002,78.6780487805,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
147,2003,78.6317073171,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
148,2004,79.1804878049,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
149,2005,79.3317073171,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
150,2006,79.8804878049,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
151,2007,80.1804878049,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
152,2008,80.4317073171,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
153,2009,80.3317073171,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
154,2010,80.5804878049,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
155,2011,80.9829268293,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
156,2012,80.9365853659,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
157,2013,81.1365853659,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
158,2014,81.4902439024,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
159,2015,81.1902439024,SP.DYN.LE00.IN,AUT,Austria,Europe & Central Asia,High income,Not classified
160,2000,66.763,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
161,2001,67.054,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
162,2002,67.391,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
163,2003,67.791,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
164,2004,68.249,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
165,2005,68.747,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
166,2006,69.259,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
167,2007,69.752,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
168,2008,70.201,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
169,2009,70.597,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
170,2010,70.938,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
171,2011,71.234,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
172,2012,71.506,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
173,2013,71.768,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
174,2014,72.022,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
175,2015,72.266,SP.DYN.LE00.IN,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
176,2000,71.914,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
177,2001,71.954,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
178,2002,71.977,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
179,2003,71.986,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
180,2004,71.988,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
181,2005,71.987,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
182,2006,71.988,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
183,2007,71.998,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
184,2008,72.022,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
185,2009,72.067,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
186,2010,72.144,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
187,2011,72.263,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
188,2012,72.424,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
189,2013,72.62,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
190,2014,72.847,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
191,2015,73.088,SP.DYN.LE00.IN,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
192,2000,74.44,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
193,2001,74.635,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
194,2002,74.822,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
195,2003,74.999,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
196,2004,75.167,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
197,2005,75.326,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
198,2006,75.478,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
199,2007,75.625,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
200,2008,75.77,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
201,2009,75.913,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
202,2010,76.057,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
203,2011,76.2,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
204,2012,76.342,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
205,2013,76.484,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
206,2014,76.624,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
207,2015,76.762,SP.DYN.LE00.IN,BHR,Bahrain,Middle East & North Africa,High income,Not classified
208,2000,65.447,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
209,2001,65.956,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
210,2002,66.43,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
211,2003,66.886,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
212,2004,67.331,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
213,2005,67.773,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
214,2006,68.213,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
215,2007,68.648,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
216,2008,69.072,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
217,2009,69.485,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
218,2010,69.881,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
219,2011,70.256,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
220,2012,70.606,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
221,2013,70.93,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
222,2014,71.231,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
223,2015,71.514,SP.DYN.LE00.IN,BGD,Bangladesh,South Asia,Lower middle income,IDA
224,2000,77.162,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
225,2001,77.362,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
226,2002,77.534,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
227,2003,77.682,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
228,2004,77.808,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
229,2005,77.915,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
230,2006,78.009,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
231,2007,78.097,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
232,2008,78.184,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
233,2009,78.272,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
234,2010,78.364,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
235,2011,78.456,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
236,2012,78.547,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
237,2013,78.633,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
238,2014,78.717,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
239,2015,78.801,SP.DYN.LE00.IN,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
240,2000,68.912195122,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
241,2001,68.5073170732,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
242,2002,68.056097561,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
243,2003,68.5536585366,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
244,2004,68.956097561,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
245,2005,68.8512195122,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
246,2006,69.4048780488,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
247,2007,70.2073170732,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
248,2008,70.456097561,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
249,2009,70.4073170732,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
250,2010,70.4048780488,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
251,2011,70.5536585366,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
252,2012,71.9658536585,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
253,2013,72.4707317073,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
254,2014,72.9707317073,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
255,2015,73.6243902439,SP.DYN.LE00.IN,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
256,2000,77.7219512195,SP.DYN.LE00.IN,BEL,Belgium,Europe & Central Asia,High income,Not classified
257,2001,77.9731707317,SP.DYN.LE00.IN,BEL,Belgium,Europe & Central Asia,High income,Not classified
258,2002,78.0756097561,SP.DYN.LE00.IN,BEL,Belgium,Europe & Central Asia,High income,Not classified
259,2003,78.1292682927,SP.DYN.LE00.IN,BEL,Belgium,Europe & Central Asia,High income,Not classified
